region,region_code,country_code,gdp_ppp_current_international,population_total,population_cgr_1960_2015,internet_users_per_100_people,popltn_largest_city_of_urban_pop,2014_life_expectancy_at_birth_total_years,literacy_rate_adult_female_of_females_ages_15_and_above,exports_of_goods_and_services_of_gdp
Subsaharan Africa,AF Total,,3631990520504.913,995391716,,,,,,
Austral Realm,AU Total,,1252339856822.8516,28376869,,,,,,
East Asia,EA Total,,26527244418937.695,1584803274,,,,,,
Europe,EU Total,,20775358399157.95,600504458,,,,,,
Middle America,MA Total,,2870234710466.8213,214783392,,,,,,
North Africa & Southwest Asia,ME Total,,8638025364078.189,602594438,,,,,,
North America,NA Total,,19535592446962.76,357326708,,,,,,
Pacific Realm,PA Total,,11125906558.475908,10700499,,,,,,
Russia ,RU Total,,3811979814243.7383,160444873,,,,,,
South America,SA Total,,5936382322468.203,418175687,,,,,,
Southeast Asia,SE Total,,6656599975511.426,631737657,,,,,,
South Asia,SS Total,,9799236226739.422,1711634736,,,,,,
Arab World,,ARB,6435291560152.01,392022276,0.026596108219843817,39.52615406593972,0.29792553727536525,70.56790191057728,,
Bermuda,,BMU,,65235,0.007020101930538036,98.3236096537251,,80.79731707317075,,
Caribbean small states,,CSS,109873805888.94202,7048966,0.009499140536592954,51.91699952018783,,72.84469980920727,,0.3605868237488293
Central Europe and the Baltics,,CEB,2613447848501.833,103318638,0.0022307569534516514,68.15658621778664,0.16498270889935376,76.56332724654408,,0.6101647366029721
Early-demographic dividend,,EAR,27102333853783.652,3122703317,0.021293220475814056,29.79234254685315,0.18099077587029597,69.03914206819549,,
East Asia & Pacific,,EAS,35767059501318.25,2279186469,0.01432372893269851,49.82471578037743,0.11730154863135722,74.92850744213446,,0.2993961907443522
East Asia & Pacific (excluding high income),,EAP,25988222799526.383,2035129646,0.01501754381699727,44.982048970782806,0.07669628454984462,73.9857230370492,,0.2526904725038495
East Asia & Pacific (IDA & IBRD countries),,TEA,25938732918444.34,2009929013,0.015024603951280024,44.98204897078281,0.07510453170896436,74.03477400293592,,0.25269047250384946
Euro area,,EMU,13564044499578.043,339425073,0.004483261454845566,80.28028396945396,0.15462959853401423,81.64866943714901,,0.4456839451174951
Europe & Central Asia,,ECS,26947887951476.47,907944124,0.005608726229952232,71.74412921266939,0.16968220862241912,76.892204209525,,0.4196551633407758
Europe & Central Asia (excluding high income),,ECA,7429211095071.091,411338238,0.007332980212844564,59.932064459407314,0.1812304785635509,71.89472566267892,,0.32607270628762336
Europe & Central Asia (IDA & IBRD countries),,TEC,8514772143353.657,453562136,0.007002528187304957,60.718746480696396,0.17364837339621741,72.39720521003423,,0.352748275023798
European Union,,EUU,19202504786404.17,509668361,0.003986599871914631,79.62581460750232,0.1612275341313663,80.67381364140003,,0.42922644521705455
Faroe Islands,,FRO,,48199,0.006222638216330623,94.2,,81.69268292682928,,
Fragile and conflict affected situations,,FCS,1817637243823.9272,485609230,0.025946903135167343,14.986308746989986,0.34703024322136033,61.721070804075076,,0.2740756358920215
Heavily indebted poor countries (HIPC),,HPC,1572526532336.1355,721104105,0.027464188626671104,12.133518372683886,0.33078960124435347,60.78548361388123,,0.24703946133383478
High income,,HIC,53062628415798.016,1187189841,0.008173516186258611,81.01474358308394,0.19136885750125898,80.58040627078825,,0.30539137967438545
IBRD only,,IBD,56104151624490.305,4542580688,0.016211308765760046,42.50059974461692,0.1251423466430548,72.04307307085658,,0.2585914491066317
IDA & IBRD total,,IBT,62054726084116.8,6183634830,0.018122162228250804,37.114153306165754,0.15492349398191707,69.7532003137702,,0.26011838880813515
IDA blend,,IDB,3322706325363.7476,585760189,0.023431902179856356,35.04086179646242,0.21328141645846227,63.324370435492085,,
IDA only,,IDX,2660300000792.973,1055293953,0.02557500581689154,14.857022626709472,0.3273773045450611,63.33861517006641,,0.22752488291903436
IDA total,,IDA,6008882598050.124,1641054142,0.02478092444402935,22.132833691287413,0.2801812530350028,63.33352118464958,,0.28336817861344427
Late-demographic dividend,,LTE,35413131428526.625,2249154750,0.013095917373177501,54.059255770000306,0.10279366039246916,75.11927315919063,,0.28118216778457034
Latin America & Caribbean,,LCN,9907510033896.549,632959079,0.019351781336384155,54.45838430346568,0.22776476683020846,74.94196451894325,,0.20369927266381577
Latin America & Caribbean (excluding high income),,LAC,9209370995471.56,605364992,0.01975222086580386,53.88393399178453,0.2162660293676997,74.71736291785952,,0.19762220217962956
Latin America & the Caribbean (IDA & IBRD countries),,TLA,9485576390867.87,616862604,0.01974107232560729,54.70371767655718,0.22398103663659483,74.83097561595102,,0.20310748373065501
Least developed countries: UN classification,,LDC,2381001746126.3257,954218054,,12.62860121827802,0.3392751140721294,63.190445941854506,,0.22865697841246246
Low & middle income,,LMY,60784067194960.625,6159443196,0.01826327757646662,36.7986475240125,0.1541543773112109,69.68393988888522,,0.251395446615191
Low income,,LIC,1049835524545.5281,638286288,0.026110768752207525,9.460342052574964,0.3230128245774074,61.27438557102727,,0.20371682712551725
Lower middle income,,LMC,18803605902340.312,2927414098,0.020741637283167247,28.632061531212056,0.16439467851896666,67.25391712529236,,
Mauritius,,MUS,24596139715.391705,1262605,0.011882337194288661,50.1393184766711,,74.19439024390245,88.4531173706055,0.4980175250783078
Middle East & North Africa,,MEA,7963288076658.239,424065257,0.02560660564471995,43.70753336681495,0.2621074966000608,72.85437336002803,,
Middle East & North Africa (excluding high income),,MNA,,362560941,0.0240873897835574,38.20625384794834,0.2467468286796446,72.26739736486142,,
Middle East & North Africa (IDA & IBRD countries),,TMN,,358138798,0.0238589142279233,37.95898158319783,0.24765953862677625,72.25962930419162,,
Middle income,,MIC,59742389390219.13,5521156908,0.017540641470197738,39.79636329491206,0.1423195606100141,70.64114396734065,,0.25219778235245793
North America,,NAC,19539247514183.883,357335829,0.010734669116374551,75.9372515632806,0.08429398788602929,79.24410182562261,,0.14278418147939675
Not classified,,INX,,,,,,,,
OECD members,,OED,50986895126041.06,1282975040,0.008884016886801183,77.24348745650099,0.17751552920912136,80.1171445637228,,0.2841801484388088
Other small states,,OSS,714478975540.9653,28650005,0.020887468707754486,40.395563825441116,,66.44733240300766,,0.571950815367137
Pacific island small states,,PSS,13357433244.84636,2351091,0.0183290081519234,29.782841463942372,,69.91903221846056,,0.5501975431062557
Post-demographic dividend,,PST,47111753718673.16,1097737383,0.006835801544299525,79.77495336243753,0.17595370616856534,80.47215977104473,,0.29382391415508424
Pre-demographic dividend,,PRE,3114869373863.4214,850271023,0.027781234300871205,21.071090804173185,0.2998250704622894,58.364579662246435,,0.264478700426771
Seychelles,,SYC,2533705610.705601,92900,0.014670618225285814,58.118697567706,,73.22926829268293,95.8478469848633,
Small states,,SST,837506742105.0535,38050062,0.018021259305434745,41.93455097457608,,67.83853585712798,,0.5268831098608707
South Asia,,SAS,9862148895906.42,1744161298,0.020476404352264055,23.627941115101414,0.11543696161563277,68.12104459682145,,
South Asia (IDA & IBRD),,TSA,9862148895906.42,1744161298,0.020476404352264055,23.627941115101414,0.11543696161563277,68.12104459682145,,
Sub-Saharan Africa,,SSF,3698468095511.0664,1000980981,0.02724101672919499,22.388059709862073,0.2831097364244197,58.55885495677451,,0.29066509335659824
Sub-Saharan Africa (excluding high income),,SSA,3695934634404.1606,1000888081,0.027242695482026846,22.38466453393504,0.2831097364244197,58.55747868393391,,0.29066509335659807
Sub-Saharan Africa (IDA & IBRD countries),,TSS,3698468095511.0664,1000980981,0.02724101672919499,22.388059709862073,0.2831097364244197,58.55885495677452,,0.2906650933565982
Upper middle income,,UMC,41065000591415.15,2593742810,0.014497801012168576,52.13786915858146,0.12718456322841495,74.43883867350435,,0.2494911699400746
World,,WLD,113653546713236.8,7346633037,0.01620281717339589,43.99831479143216,0.16304008369600662,71.45499815661294,,0.29143337253110335
